week,date,day,time,subject,speaker,link1,link2
7 - 11 Ekim,7 Ekim,Salı,20:00,Kuran-ı Kerim Dersi,Hafız,,https://drive.google.com/file/d/1TCs8upFodzWqFOjDylfSDhoEWrJ3EQ1d/view?usp=drive_link
7 - 11 Ekim,8 Ekim,Çarşamba,20:00,Kuran-ı Kerim Dersi,Hafız,,
7 - 11 Ekim,8 Ekim,Çarşamba,21:00,Hz. Adem (a.s.) Anlatımı (Tekrar),Çağrı,https://drive.google.com/file/d/1u0yexwWa2Vy8Cc-4l5BGmhHtZDhBlgQQ/view?usp=drive_link,
7 - 11 Ekim,9 Ekim,Perşembe,20:00,Kuran-ı Kerim ve Namaz Anlatımı,Hafız,https://drive.google.com/file/d/1skUjjnVh-hfgWJwCaSvK3Cml3_oRtcMY/view?usp=drive_link,
7 - 11 Ekim,10 Ekim,Cuma,21:00,Hz. Yunus (a.s.) Anlatımı,Celalettin,https://drive.google.com/file/d/1p1nqg71bTxTG1qHB1ME1nQk7nP1DCbrm/view?usp=drive_link,
7 - 11 Ekim,11 Ekim,Cumartesi,21:00,Bedir Savaşı Anlatımı,Sertan,https://drive.google.com/file/d/1iNJMs2KSxN2wZvSIe1WTU2DlSjnr2Eea/view?usp=drive_link,
13 - 18 Ekim,13 Ekim,Pazartesi,21:00,Bakara Suresi Anlatımı,Mert,https://drive.google.com/file/d/140xXOORGk_4aIDAfKsOZU5XRPfw0N3HJ/view?usp=drive_link,
13 - 18 Ekim,14 Ekim,Salı,20:00,Kuran-ı Kerim Ders Tekrarı,Hafız,,
13 - 18 Ekim,15 Ekim,Çarşamba,20:00,Kuran-ı Kerim Ders Tekrarı,Hafız,,
13 - 18 Ekim,15 Ekim,Çarşamba,21:00,Hz. Yunus (a.s.) Anlatımı (Tekrar),Çağrı,https://drive.google.com/file/d/1p1nqg71bTxTG1qHB1ME1nQk7nP1DCbrm/view,
13 - 18 Ekim,16 Ekim,Perşembe,21:00,Alak Suresi (İlk 5 Ayet),Hafız,https://drive.google.com/file/d/1UeGKPPgPz0_tYG3xq38wdndW--CBjVXP/view,https://drive.google.com/file/d/1S97dC2xfHa5T0isOFNpJvp_DGPetu0it/view
13 - 18 Ekim,17 Ekim,Cuma,21:00,Hz. Eyüp (a.s.) Anlatımı,Çağrı,https://drive.google.com/file/d/1UT_m_dxI9FCAP4yU_i-JyPYTqeUbmm61/view,
13 - 18 Ekim,18 Ekim,Cumartesi,21:00,Uhud Savaşı Anlatımı,Taner,https://drive.google.com/file/d/1bXLCv_pKTdMgvKChhd-bjrw3eIVmWfrs/view,
20 - 25 Ekim,20 Ekim,Pazartesi,21:00,Ali İmran Suresi Anlatımı,Mert,https://drive.google.com/file/d/1uBzn9PGYyoQ_SkgKSo0o3KcVnRjLbFoF/view,
20 - 25 Ekim,21 Ekim,Salı,21:00,Kalem Suresi (İlk 5 Ayet),Hafız,https://drive.google.com/file/d/1UeGKPPgPz0_tYG3xq38wdndW--CBjVXP/view,https://drive.google.com/file/d/1en2GmVK493Dcaa6CTs0gsAZ5662JEGDH/view
20 - 25 Ekim,22 Ekim,Çarşamba,21:00,Uhud Savaşı Anlatımı (Tekrar),Mert,https://drive.google.com/file/d/1ydb8dRvrisbCK8h3NcXuv8dLwfkcv1TR/view?usp=drive_link,
20 - 25 Ekim,23 Ekim,Perşembe,21:00,Müzzemmil Suresi (ilk 5 Ayet),Hafız,https://drive.google.com/file/d/1kWPY9KV0V5aATajrvMROsWYrdwzNmCWq/view?usp=drive_link,https://drive.google.com/file/d/112fcGNEu8H4qRflGD-cWpY341mZ-MJGH/view?usp=drive_link
20 - 25 Ekim,24 Ekim,Cuma,21:00,Hz. İsa (a.s.) Anlatımı,Kemal,https://drive.google.com/file/d/1DscN5BkK8FluyBxKjExRg5nQcSm_bSEp/view?usp=drive_link,
20 - 25 Ekim,25 Ekim,Cumartesi,21:00,Hudeybiye Antlaşması Anlatımı,Hafız,https://drive.google.com/file/d/1sgY7lg3fcmc6Mmd-ZEFnPRpq3Z3L5zN6/view?usp=drive_link,
28 Ekim - 1 Kasım,28 Ekim,Salı,21:00,Fil Suresi,Hafız,https://drive.google.com/file/d/1qzGaaQ7VLbMQXHH_S4p45UlyR4kaBinu/view?usp=drive_link,https://drive.google.com/file/d/1ljbqPFcuNRwYNZgs0pfZ-fLwU4Q3xnWi/view?usp=drive_link
28 Ekim - 1 Kasım,29 Ekim,Çarşamba,21:00,Hz. İbrahim (a.s.) Anlatımı,Taner,https://drive.google.com/file/d/1jrzkNRN-cKRYHoar46ov0tgxOwPGxmIz/view?usp=drive_link,
28 Ekim - 1 Kasım,30 Ekim,Perşembe,21:00,Kevser Suresi,Hafız,https://drive.google.com/file/d/1rehtOGW3EdXcpZdKZNHlOVtsOWKxXOE7/view?usp=drive_link,
28 Ekim - 1 Kasım,31 Ekim,Cuma,21:00,Nisa Suresi Anlatımı,Mert,https://drive.google.com/file/d/1a15aPiqqSdck-Q_iqqGseXmxUi6PPaIR/view?usp=drive_link,
4 - 8 Kasım,4 Kasım,Salı,21:00,Alak Suresi (6-10. Ayetler),Hafız,https://drive.google.com/file/d/1Mf2AL1XH06LS0IkfcwIvZ9G9NPF1WwSH/view?usp=drive_link,https://drive.google.com/file/d/1iMG7x7mRHbAvwGKIvB_4h4CCC0Jj2_Dj/view?usp=drive_link
4 - 8 Kasım,5 Kasım,Çarşamba,21:00,Kalem Suresi (6-10. Ayetler),Hafız,https://drive.google.com/file/d/1tjZgqJlzsWy9ojr29QzdWlphPxxR7Q7s/view?usp=drive_link,https://drive.google.com/file/d/1rbtLr2SMqixKS46bU091eF6yUoamwyd3/view?usp=drivesdk
4 - 8 Kasım,6 Kasım,Perşembe,21:00,Hz. İsmail (a.s.) Anlatımı,Çağrı,https://drive.google.com/file/d/1PRwATaWaL3p3nkk1xAjdLfE6yN_nc-rk/view?usp=drive_link,
4 - 8 Kasım,7 Kasım,Cuma,21:00,Hendek Savaşı,Mert,https://drive.google.com/file/d/1t1hlvXI3jyH2Fvnq6DPvfPmc_qcj4_89/view?usp=drive_link,
4 - 8 Kasım,8 Kasım,Cumartesi,21:00,Veda Hutbesi,Özer,https://drive.google.com/file/d/1t2gns9p7LaK25T1IjOFwHT7jWTGTM_uA/view?usp=drive_link,
11 - 15 Kasım,11 Kasım,Salı,21:00,Alak Suresi (11-15. Ayetler),Hafız,https://drive.google.com/file/d/1X7DtdT5lyJdPSHl5E0u9ozUA7c8m_MLC/view?usp=drive_link,https://drive.google.com/file/d/1TJQushZBe4KKTD6hPJqybyibYecMR-XK/view?usp=drive_link
11 - 15 Kasım,12 Kasım,Çarşamba,21:00,Hz. İshak (a.s.) Anlatımı,Mert,https://drive.google.com/file/d/1j6GgAJevPaVGHdvUlBksfaYK-bS2qtMp/view?usp=drive_link,
11 - 15 Kasım,13 Kasım,Perşembe,21:00,Duha Suresi okunuşu,Hafız,,https://drive.google.com/file/d/1scL4ciXrac9OIf-RLkqHuQC8u9JiFk3Y/view?usp=drive_link
11 - 15 Kasım,14 Kasım,Cuma,21:00,Hayber Savaşı,Mert,https://drive.google.com/file/d/1zxN05Jdq6T1uu15i8NhGEsnoRyOvMN0U/view?usp=drive_link,
11 - 15 Kasım,15 Kasım,Cumartesi,21:00,Hicret,Özer,https://drive.google.com/file/d/14LYCyHxIPwqgZC18Ntuw04DtLAon6Uc7/view?usp=drive_link,
18 - 22 Kasım,18 Kasım,Salı,21:00,Kalem Suresi (11-15. Ayetler),Hafız,https://drive.google.com/file/d/18nCDlVsT7I5eBamc4QMkcIQ68pnl0qOe/view?usp=drive_link,https://drive.google.com/file/d/1-Y9Rrvn6S_drosTcb9tEG5Qx6qlgUX40/view?usp=drive_link
18 - 22 Kasım,19 Kasım,Çarşamba,21:00,Kalem Suresi (16-20. Ayetler),Hafız,,https://drive.google.com/file/d/1h2CuwDIy7XjyYD6Mc6fFh3Ud1GHEVsoS/view?usp=drive_link
18 - 22 Kasım,20 Kasım,Perşembe,21:00,Çocuk Sevgisi,Mert,https://drive.google.com/file/d/1ilK3l9aGUOcx10WQaOkVcTvSJwToJigh/view?usp=drive_link,
18 - 22 Kasım,21 Kasım,Cuma,21:00,Hz. Yakup (a.s.) Anlatımı,Özer,https://drive.google.com/file/d/1MVIoUaRfDxJWlY7i7dGFOC_gYKlC-aJ9/view?usp=drive_link,
18 - 22 Kasım,22 Kasım,C.tesi,21:00,Mekke’nin Fethi,Taylan,https://drive.google.com/file/d/141P3zvX9ecqhucWGpKk0Ib-wViAVUxE7/view?usp=drive_link,
25 - 29 Kasım,25 Kasım,Salı,21:00,Fatiha Suresi okunuşu,Hafız,,https://drive.google.com/file/d/1c_CL9fmoieVyF0ZbvgShGNQ46tWT7jBP/view?usp=drive_link
25 - 29 Kasım,26 Kasım,Çarşamba,21:00,Efendimiz (s.a.v.)'in Doğumu,Mert,https://drive.google.com/file/d/1aPAkUjDglwPJywoOWgVhR8yvSpmNw8vl/view?usp=drive_link,
25 - 29 Kasım,27 Kasım,Perşembe,21:00,Müddessir Suresi (ilk 5 Ayet),Hafız,https://drive.google.com/file/d/1sb4qZYrpGajd1yoB7nni68910R3fTK5R/view?usp=drive_link,https://drive.google.com/file/d/18UgQ5jGIO_8eSHTrCAmAssqSMg6PuNnm/view
25 - 29 Kasım,28 Kasım,Cuma,21:00,Şehadet ve İman,Özer,https://drive.google.com/file/d/1vpOpJo_0PSlXIN9hYUSzp3EQHgq7y59-/view?usp=drive_link,
25 - 29 Kasım,29 Kasım,Cumartesi,21:00,Enam Suresi Anlatımı,Çağrı,https://drive.google.com/file/d/1MwJwk7_uQHQIpUE1QKT03k6OAX7p8ISW/view?usp=drive_link,
2 - 6 Aralık,2 Aralık,Salı,21:00,Fatiha Suresi,Hafız,https://drive.google.com/file/d/1VKAPMWR-7_XEPvjzv4LYOM-n3xshnLGL/view?usp=drive_link,
2 - 6 Aralık,3 Aralık,Çarşamba,21:00,Müddessir Suresi (6-10. Ayetler),Hafız,https://drive.google.com/file/d/1sb4qZYrpGajd1yoB7nni68910R3fTK5R/view?usp=drive_link,https://drive.google.com/file/d/1ghbXgGXwsbzAubrkiuoPZ1Mi0DG4aL1k/view?usp=drive_link
2 - 6 Aralık,4 Aralık,Perşembe,21:00,İslam ve İnsan,Özer,https://drive.google.com/file/d/1H_TIy9PF1JHZs86-XovfPa5fskLnZXFM/view?usp=drive_link,
2 - 6 Aralık,5 Aralık,Cuma,21:00,Efendimiz (s.a.v.) ve Darü'l-Erkam,Mert,https://drive.google.com/file/d/1_R_97G62jAZ5ibaJvY793nRg8tix351W/view?usp=drive_link,
2 - 6 Aralık,6 Aralık,Cumartesi,21:00,Araf Suresi Anlatımı,Taylan,https://drive.google.com/file/d/1EyhaVzdvi1cOhDkAWfscTSqP0dZGiA7i/view?usp=drive_link,
9 - 12 Aralık,9 Aralık,Salı,21:00,Fatiha Suresi & İhlas Suresi,Hafız,https://drive.google.com/file/d/1KJfm-IK2E13T-up4AtF1WcM8JiSpHpzH/view?usp=drive_link,https://drive.google.com/file/d/1YxlJUWP8EQgMkP7yF3XkDV6dB9dqE7Hr/view?usp=drive_link
9 - 12 Aralık,10 Aralık,Çarşamba,21:00,İman ve İnsan,Mert,https://drive.google.com/file/d/1BMMbMSuBxiFP6rRDVZPjSH1e8AIYde9e/view,
9 - 12 Aralık,11 Aralık,Perşembe,21:00,Mutaffifin Suresi (ilk 5 Ayet),Hafız,,
9 - 12 Aralık,12 Aralık,Cuma,21:00,Bağımlılıklar sevgi ile nasıl değişir?,Özer & Cemil,,